TRAB_RENDA_BRUTA,TRAB_AREA,TRAB_OCUPACAO,CAMPUS,CURSO,ANO_CONCLUSAO,Sheet,MODALIDADE,NOME_DATAFRAME
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(1) Trabalham,Currais Novos,Licenciatura em Química,2018,PAE2018-2019_selected_data_renamed.xlsx,Licenciatura,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Natal - Central,Técnico em Geologia,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(1) Trabalham,Natal - Central,Tecnologia em Construção de Edifícios,2018,PAE2018-2019_selected_data_renamed.xlsx,Tecnologia,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,Parnamirim,Técnico em Mecatrônica,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(1) Trabalham,Natal - Central,Tecnologia em Gestão Ambiental,2017,PAE2018-2019_selected_data_renamed.xlsx,Tecnologia,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(1) Trabalham,Santa Cruz,Técnico em Manutenção e Suporte em Informática,2017,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Natal - Central,Técnico em Edificações,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Natal - Central,Técnico em Edificações,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(1) Trabalham,Natal - Central,Técnico em Segurança do Trabalho,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Macau,Técnico em Química,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,Nova Cruz,Técnico em Informática,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,São Paulo do Potengi,Técnico em Edificações,2016,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Natal - Central,Técnico em Segurança do Trabalho,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Natal - Zona Norte,Técnico em Informática,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(1) Trabalham,Natal - Central,Tecnologia em Comércio Exterior,2018,PAE2018-2019_selected_data_renamed.xlsx,Tecnologia,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,João Câmara,Técnico em Informática,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Natal - Central,Técnico em Geologia,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,São Gonçalo do Amarante,Técnico em Edificações,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
